state,action,reward,next_state,done
0,3,0.4,1,False
31,1,0.4,41,False
22,3,0.4,23,False
89,1,20.0,99,True
1,3,0.4,2,False
42,2,-2.0,42,False
89,1,20.0,99,True
11,1,0.4,21,False
11,3,0.4,12,False
12,3,0.4,13,False
23,2,-0.30000000000000004,22,False
10,1,0.4,20,False
1,0,-0.30000000000000004,1,False
73,2,-1.3,72,False
1,1,0.4,11,False
24,3,0.4,25,False
10,1,0.4,20,False
12,3,0.4,13,False
63,1,-3.0,63,False
51,3,0.4,52,False
1,1,0.4,11,False
1,2,-0.30000000000000004,0,False
22,1,0.4,32,False
0,3,0.4,1,False
0,3,-2.0,0,False
0,0,-0.30000000000000004,0,False
65,3,0.4,66,False
23,3,0.4,24,False
0,0,-0.30000000000000004,0,False
1,0,-0.30000000000000004,1,False
13,3,0.4,14,False
12,1,-2.0,12,False
2,1,-2.0,2,False
11,1,0.4,21,False
12,3,-2.0,12,False
10,3,0.4,11,False
23,0,-0.30000000000000004,13,False
62,3,-3.0,62,False
0,1,0.4,10,False
30,3,-2.0,30,False
1,1,0.4,11,False
10,1,0.4,20,False
10,1,0.4,20,False
10,1,0.4,20,False
11,2,-0.30000000000000004,10,False
23,1,0.4,33,False
10,3,0.4,11,False
0,3,0.4,1,False
0,2,-0.30000000000000004,0,False
13,3,-2.0,13,False
11,3,0.4,12,False
1,1,0.4,11,False
98,3,20.0,99,True
0,2,-0.30000000000000004,0,False
10,1,0.4,20,False
10,1,0.4,20,False
23,1,0.4,33,False
20,3,-2.0,20,False
10,1,0.4,20,False
20,2,-0.30000000000000004,20,False
30,1,0.4,40,False
89,1,20.0,99,True
13,0,-0.30000000000000004,3,False
42,0,-0.30000000000000004,32,False
1,1,0.4,11,False
20,1,-0.6,30,False
0,1,0.4,10,False
89,1,20.0,99,True
89,1,20.0,99,True
44,2,-0.30000000000000004,43,False
1,1,0.4,11,False
98,3,20.0,99,True
34,3,-3.0,34,False
27,2,-1.3,26,False
10,1,0.4,20,False
2,2,-0.30000000000000004,1,False
30,3,0.4,31,False
20,1,0.4,30,False
1,0,-0.30000000000000004,1,False
44,1,0.4,54,False
12,0,-2.0,12,False
2,0,-0.30000000000000004,2,False
0,1,0.4,10,False
35,3,0.4,36,False
31,3,0.4,32,False
10,3,0.4,11,False
53,2,-1.3,52,False
11,1,0.4,21,False
32,3,0.4,33,False
13,3,0.4,14,False
89,1,20.0,99,True
20,3,0.4,21,False
16,0,-0.30000000000000004,6,False
0,2,-0.30000000000000004,0,False
63,1,-3.0,63,False
20,1,0.4,30,False
2,0,-0.30000000000000004,2,False
2,0,-1.3,2,False
0,0,-0.30000000000000004,0,False
34,3,0.4,35,False
20,1,0.4,30,False
13,0,-0.30000000000000004,3,False
36,0,-1.3,26,False
12,0,-0.30000000000000004,2,False
22,1,0.4,32,False
43,1,-2.0,43,False
0,1,0.4,10,False
11,3,0.4,12,False
2,3,0.4,3,False
30,2,-0.30000000000000004,30,False
20,1,0.4,30,False
43,2,-0.30000000000000004,42,False
32,3,0.4,33,False
41,3,-0.6,42,False
3,3,0.4,4,False
1,1,0.4,11,False
20,2,-0.30000000000000004,20,False
70,2,-0.30000000000000004,70,False
31,2,-1.3,30,False
32,0,-1.3,22,False
41,0,-0.30000000000000004,31,False
0,2,-0.30000000000000004,0,False
25,3,0.4,26,False
89,1,20.0,99,True
25,0,-0.30000000000000004,15,False
23,2,-0.30000000000000004,22,False
0,3,0.4,1,False
98,3,20.0,99,True
20,0,-0.30000000000000004,10,False
10,3,0.4,11,False
14,1,-0.6,24,False
41,3,0.4,42,False
3,3,0.4,4,False
13,2,-0.30000000000000004,12,False
89,1,20.0,99,True
12,1,-2.0,12,False
2,2,-0.30000000000000004,1,False
43,3,0.4,44,False
89,1,20.0,99,True
12,1,0.4,22,False
35,1,0.4,45,False
22,3,0.4,23,False
0,2,-0.30000000000000004,0,False
0,1,0.4,10,False
1,3,0.4,2,False
1,3,0.4,2,False
22,2,-0.30000000000000004,21,False
1,1,0.4,11,False
0,2,-0.30000000000000004,0,False
20,2,-0.30000000000000004,20,False
0,2,-0.30000000000000004,0,False
11,2,-0.30000000000000004,10,False
10,3,-0.6,11,False
43,3,0.4,44,False
21,0,-1.3,11,False
12,0,-0.30000000000000004,2,False
20,0,-0.30000000000000004,10,False
57,3,-0.6,58,False
31,3,0.4,32,False
0,1,0.4,10,False
22,2,-0.30000000000000004,21,False
31,1,0.4,41,False
35,0,-0.30000000000000004,25,False
89,1,20.0,99,True
98,3,20.0,99,True
98,3,20.0,99,True
20,1,0.4,30,False
0,3,-2.0,0,False
13,3,0.4,14,False
11,3,0.4,12,False
23,0,-0.30000000000000004,13,False
11,3,0.4,12,False
12,2,-0.30000000000000004,11,False
98,3,20.0,99,True
11,1,0.4,21,False
1,1,0.4,11,False
23,0,-0.30000000000000004,13,False
98,3,20.0,99,True
50,0,-0.30000000000000004,40,False
0,3,-2.0,0,False
0,0,-0.30000000000000004,0,False
1,1,0.4,11,False
46,0,-0.30000000000000004,36,False
32,3,0.4,33,False
0,0,-0.30000000000000004,0,False
0,3,0.4,1,False
89,1,20.0,99,True
51,1,-3.0,51,False
20,3,-2.0,20,False
0,1,0.4,10,False
12,3,0.4,13,False
10,0,-0.30000000000000004,0,False
41,1,-2.0,41,False
93,0,-1.3,83,False
10,1,0.4,20,False
2,2,-0.30000000000000004,1,False
17,3,0.4,18,False
89,1,20.0,99,True
3,3,-2.0,3,False
0,3,-2.0,0,False
0,1,0.4,10,False
1,1,0.4,11,False
13,1,-2.0,13,False
1,1,0.4,11,False
13,3,0.4,14,False
22,2,-1.3,21,False
1,0,-0.30000000000000004,1,False
30,2,-1.3,30,False
12,1,0.4,22,False
21,1,-2.0,21,False
0,3,0.4,1,False
89,3,-1.3,89,False
42,1,0.4,52,False
21,3,0.4,22,False
21,0,-0.30000000000000004,11,False
0,0,-0.30000000000000004,0,False
32,3,0.4,33,False
13,2,-0.30000000000000004,12,False
36,0,-1.3,26,False
11,0,-0.30000000000000004,1,False
20,2,-0.30000000000000004,20,False
41,0,-0.30000000000000004,31,False
11,1,0.4,21,False
0,1,0.4,10,False
1,3,0.4,2,False
0,1,0.4,10,False
11,3,0.4,12,False
12,1,0.4,22,False
65,3,0.4,66,False
10,0,-0.30000000000000004,0,False
10,2,-0.30000000000000004,10,False
4,0,-0.30000000000000004,4,False
40,0,-0.30000000000000004,30,False
21,1,0.4,31,False
0,3,0.4,1,False
57,3,0.4,58,False
4,0,-0.30000000000000004,4,False
10,3,0.4,11,False
1,3,0.4,2,False
2,3,0.4,3,False
30,1,0.4,40,False
4,1,0.4,14,False
11,1,-2.0,11,False
0,2,-0.30000000000000004,0,False
10,1,0.4,20,False
1,2,-0.30000000000000004,0,False
0,0,-0.30000000000000004,0,False
58,2,-0.30000000000000004,57,False
52,0,-0.30000000000000004,42,False
22,1,0.4,32,False
31,3,-2.0,31,False
94,0,-1.3,84,False
0,3,0.4,1,False
34,0,-0.30000000000000004,24,False
2,2,-0.30000000000000004,1,False
2,1,0.4,12,False
21,1,-2.0,21,False
40,3,0.4,41,False
2,3,0.4,3,False
30,1,0.4,40,False
21,3,0.4,22,False
11,1,0.4,21,False
0,3,0.4,1,False
31,2,-0.30000000000000004,30,False
2,1,-2.0,2,False
51,3,0.4,52,False
16,2,-0.30000000000000004,15,False
2,3,0.4,3,False
0,0,-0.30000000000000004,0,False
12,3,0.4,13,False
89,1,20.0,99,True
32,1,0.4,42,False
1,3,0.4,2,False
1,0,-0.30000000000000004,1,False
30,3,-2.0,30,False
2,3,0.4,3,False
12,1,0.4,22,False
10,1,0.4,20,False
20,0,-0.30000000000000004,10,False
20,3,-2.0,20,False
11,3,0.4,12,False
0,1,0.4,10,False
1,3,0.4,2,False
0,1,0.4,10,False
20,0,-0.30000000000000004,10,False
2,3,0.4,3,False
25,1,0.4,35,False
0,1,0.4,10,False
32,3,0.4,33,False
0,3,0.4,1,False
21,3,0.4,22,False
11,3,0.4,12,False
42,1,0.4,52,False
0,3,0.4,1,False
89,1,20.0,99,True
10,3,0.4,11,False
13,2,-1.3,12,False
1,3,0.4,2,False
0,1,0.4,10,False
11,3,0.4,12,False
98,3,20.0,99,True
98,3,20.0,99,True
98,3,20.0,99,True
22,1,0.4,32,False
11,0,-0.30000000000000004,1,False
3,3,0.4,4,False
22,1,0.4,32,False
43,1,0.4,53,False
32,2,-1.3,31,False
10,2,-0.30000000000000004,10,False
1,0,-0.30000000000000004,1,False
73,0,-3.0,73,False
11,2,-1.3,10,False
33,2,-0.30000000000000004,32,False
98,3,20.0,99,True
89,1,20.0,99,True
98,3,20.0,99,True
10,3,0.4,11,False
98,3,20.0,99,True
0,1,0.4,10,False
0,3,-2.0,0,False
20,1,0.4,30,False
34,3,0.4,35,False
12,1,0.4,22,False
0,1,-2.0,0,False
10,3,0.4,11,False
24,3,-2.0,24,False
12,3,0.4,13,False
24,3,0.4,25,False
11,3,0.4,12,False
12,3,0.4,13,False
0,0,-0.30000000000000004,0,False
29,2,-1.3,28,False
0,0,-0.30000000000000004,0,False
15,1,0.4,25,False
21,3,0.4,22,False
20,1,-3.0,20,False
32,1,-0.6,42,False
21,1,0.4,31,False
0,2,-0.30000000000000004,0,False
0,1,0.4,10,False
